:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	ID	Sex	fmal	fmal	fmal	fmar	fmar	fmar	fmtl	fmtl	fmtl	glb	glb	glb	nas	nas	nas	
Darkorange	Dot	178	1	75,9758	-100,9803	363,5057	103,4836	-195,9139	361,3586	70,2862	-99,7982	358,9977	73,4185	-153,2588	379,8135	81,633	-151,8812	379,7003	
Darkorange	Dot	179	1	78,4622	-93,2436	360,4143	106,5587	-194,1686	358,1086	73,4681	-93,0504	354,2486	77,0874	-149,7341	381,7266	84,2349	-147,265	380,3653	
Darkorange	Dot	180	1	83,4152	-94,9473	350,7292	112,6123	-184,304	350,7314	80,4542	-94,1894	346,4324	78,0581	-144,746	370,4871	87,9462	-142,5463	369,3804	
Darkorange	Dot	181	1	79,0458	-84,2285	355,6258	102,8067	-173,8229	357,3694	77,6818	-83,8941	351,3807	76,3238	-132,3068	376,8183	83,7468	-130,8327	376,1598	
Darkorange	Dot	182	1	72,4172	-91,8151	368,5357	101,0342	-187,0989	366,073	68,9291	-89,8925	362,4304	69,9041	-143,8241	385,9475	79,3534	-141,8564	383,3341	
Darkorange	Dot	184	1	73,5226	-93,855	360,9619	98,2732	-186,6411	355,9078	67,4862	-92,9208	356,8793	69,0481	-143,6681	378,4339	80,245	-143,0295	376,1634	
Darkorange	Dot	185	1	81,1943	-93,1358	365,0975	104,0634	-189,3863	360,6095	75,685	-91,6239	362,2718	73,6603	-146,0748	385,4727	83,0954	-144,5268	381,9608	
Darkorange	Dot	186	1	77,7045	-84,0357	359,1514	109,594	-180,7829	356,9104	74,2485	-84,4991	353,9779	76,5015	-139,1784	381,5802	85,6358	-134,727	378,0509	
Darkorange	Dot	187	1	84,5232	-100,5133	368,7081	113,3906	-194,6931	367,4442	81,6567	-99,4865	362,03	81,5912	-153,5908	384,7699	93,1346	-149,0281	382,7386	
Darkorange	Dot	188	1	86,6931	-96,5834	365,4229	113,2557	-191,7675	367,0195	80,282	-96,1332	362,9254	88,1635	-149,1468	391,7755	94,2677	-145,5217	388,7716	
Darkorange	Dot	189	1	77,7699	-93,5164	359,2245	107,5773	-187,3534	357,1219	72,5691	-93,1729	354,3554	77,6246	-145,9219	378,1929	89,3581	-142,0126	377,1485	
Darkorange	Dot	190	1	80,7502	-96,9877	362,2697	105,2272	-191,245	356,6405	79,6393	-95,0745	357,5895	73,6615	-150,588	378,6766	82,4099	-147,5382	376,5097	
Darkorange	Dot	191	1	80,9183	-92,9355	361,9183	106,0238	-187,8268	360,1641	76,8471	-90,632	356,9931	79,6058	-144,8571	380,5915	90,193	-141,4218	377,4928	
Darkorange	Dot	192	1	-4,2989	-103,6311	377,9064	-37,2667	-190,0306	387,1622	-14,0078	-112,906	362,49	-23,0536	-141,5755	398,7374	-14,3107	-145,2551	398,5881	
Darkorange	Dot	193	1	99,791909	-127,535798	344,653527	125,608	-222,0453	343,0258	96,453478	-125,77913	341,102346	98,1517	-177,823	364,8726	103,9624	-175,977	363,6917	
Darkorange	Dot	194	1	106,6242	-120,9757	345,6494	137,1497	-217,7115	343,7005	100,6717	-120,2192	341,7593	102,7425	-175,4617	371,6004	112,6251	-173,1584	368,504	
Darkorange	Dot	195	1	94,3943	-127,1919	340,9701	118,5171	-224,1739	343,0086	90,5841	-125,7764	337,2392	88,1753	-179,2356	361,48	93,3049	-178,0784	362,2454	
Darkorange	Dot	196	1	105,9212	-125,3783	352,9095	127,3842	-222,4064	351,1015	105,9846	-121,6683	347,4137	102,4667	-177,1345	374,787	108,2835	-175,7351	373,4383	
Darkorange	Dot	197	1	103,1614	-125,6055	346,7726	129,5852	-221,6627	344,5464	99,2414	-123,4713	343,1213	98,552	-180,191	366,7009	105,1192	-178,2243	365,1443	
Darkorange	Dot	199	1	97,1079	-129,8814	339,5863	118,2721	-222,2179	340,6973	93,9595	-127,265	332,4521	90,5738	-177,3067	358,3171	95,5213	-176,5593	357,5523	
Darkorange	Dot	200	1	104,8893	-123,693	335,7678	131,445	-218,7608	340,1749	98,0994	-124,2203	334,0367	104,9083	-173,9925	357,3074	111,5131	-171,5047	357,3111	
Darkorange	Dot	201	1	92,4113	-134,0889	343,7073	119,4606	-229,2245	340,7174	90,161	-131,0149	338,0327	92,4388	-185,0446	360,1689	97,8644	-183,6035	360,3234	
Darkorange	Dot	202	1	95,7034	-132,544	354,0498	124,5747	-226,2467	350,1142	90,8765	-132,3574	350,4957	91,3195	-186,7351	370,0184	99,4224	-184,2796	370,7608	
Darkorange	Dot	203	1	96,3477	-126,6692	336,9921	121,5735	-218,2525	335,9471	91,664	-124,2237	331,4311	91,8785	-177,38	355,3795	97,1582	-176,3554	354,3252	
Darkorange	Dot	204	1	104,4099	-128,2284	341,3081	125,6879	-219,5803	341,6549	101,2743	-126,63	339,3673	101,9951	-178,8118	360,7361	108,9758	-177,2946	360,0277	
Darkorange	Dot	205	1	107,816	-129,9378	342,5692	128,537	-227,0404	347,5003	103,6318	-128,681	339,7537	99,993	-180,5472	367,7328	105,8065	-179,8063	367,3386	
Darkorange	Dot	207	1	109,5911	-130,3082	329,2406	128,4609	-226,9468	326,1923	106,4873	-127,3889	326,5885	101,7327	-180,4254	345,5984	109,573	-178,8057	347,0701	
Darkorange	Dot	208	1	105,1057	-125,8096	347,0598	132,2177	-225,0627	345,9807	101,7075	-123,1415	342,2778	103,2434	-179,67	369,9699	109,5305	-177,5879	369,1613	
Darkorange	Dot	209	1	91,8385	-130,1159	329,5095	115,1881	-225,4417	326,0203	90,6556	-127,3056	325,5481	85,2631	-183,8025	343,4027	92,0636	-181,2081	346,3774	
Darkorange	Dot	210	1	95,9825	-127,0815	346,6661	122,7151	-220,9376	347,1733	90,1628	-125,8379	344,5714	91,1543	-179,5727	368,2184	100,2678	-176,822	370,4723	
