Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M1;Left;Inferior;13.1;11
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M2;Left;Inferior;13.7;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M3;Left;Inferior;13.4;12
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);I1;Right;Inferior;7.8;8.5
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);I2;Right;Inferior;8.1;9.9
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);C;Right;Inferior;11.5;14.2
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);Pm3;Right;Inferior;8.3;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);Pm4;Right;Inferior;10.1;9.5
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M1;Right;Inferior;13.1;11
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M2;Right;Inferior;13.7;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M3;Right;Inferior;13;12
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);I1;Left;Superior;12.5;11
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);I2;Left;Superior;7.9;7.5
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);C;Left;Superior;16.7;12.1
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);Pm3;Left;Superior;9;11
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);Pm4;Left;Superior;8.4;11.2
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M1;Left;Superior;12;12.9
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M2;Left;Superior;11.3;13.2
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M3;Left;Superior;11;12.3
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);I1;Right;Superior;12;10.6
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);I2;Right;Superior;8.1;7.5
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);C;Right;Superior;16;11.9
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);Pm3;Right;Superior;9.1;11.1
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);Pm4;Right;Superior;8.3;11.2
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M1;Right;Superior;12;12.8
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M2;Right;Superior;11.3;13.4
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);M3;Right;Superior;10.5;12.4
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);I1;Left;Inferior;8.2;10
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);I2;Left;Inferior;9.1;9.6
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);C;Left;Inferior;12.5;15.2
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);Pm3;Left;Inferior;10.4;17.4
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);Pm4;Left;Inferior;11.6;12.8
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M1;Left;Inferior;14.4;13.2
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M2;Left;Inferior;16.1;14.5
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);I1;Right;Inferior;8.2;10
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);I2;Right;Inferior;8.9;9.9
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);C;Right;Inferior;12.1;14.6
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M1;Right;Inferior;14.4;13.2
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M2;Right;Inferior;16;14.4
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);I1;Left;Superior;13.8;13.1
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);I2;Left;Superior;8.7;9
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);C;Left;Superior;17.4;14.9
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);Pm3;Left;Superior;10.1;14.1
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);Pm4;Left;Superior;9.5;14.1
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M1;Left;Superior;13.6;15.3
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M2;Left;Superior;13.4;15.6
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M3;Left;Superior;12.6;15.1
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);I1;Right;Superior;13.7;13.2
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);C;Right;Superior;17.5;15.1
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);Pm3;Right;Superior;10;14.3
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);Pm4;Right;Superior;9.4;14.1
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M1;Right;Superior;13.4;15.3
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M2;Right;Superior;13.8;15.4
Pongo pygmaeus;Cleveland Museum of Natural History;12400;Male;Original (Mahler);M3;Right;Superior;12.9;14.7
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);I1;Left;Inferior;6;8.8
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);I2;Left;Inferior;7;9.2
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);C;Left;Inferior;9;11.5
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);Pm3;Left;Inferior;8.8;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);Pm4;Left;Inferior;9.5;10.8
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M1;Left;Inferior;12.1;11
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M2;Left;Inferior;13;12.4
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M3;Left;Inferior;14;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);I1;Right;Inferior;.;8.6
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);Pm4;Right;Inferior;10.1;10.9
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M1;Right;Inferior;11.7;11.1
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M2;Right;Inferior;12.9;12.5
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);M3;Right;Inferior;14;12.7
Pongo pygmaeus;Cleveland Museum of Natural History;20898;Female;Original (Mahler);I1;Left;Superior;11.1;11.4
